id,label,startDate,endDate,dependsOn,dependsOn,dependsOn
東映アニメーション,東映アニメーション,1948-01-02,,,,
ハテナプロ,ハテナプロ,1964-01-01,1969-01-01,東映アニメーション,,
オープロダクション,オープロダクション,1970-05-01,,ハテナプロ,,
ジュニオブレイントラスト,ジュニオブレイントラスト,1970-06-01,,ハテナプロ,,
SynergySP,SynergySP,1998-09-01,,ジュニオブレイントラスト,,
イージー・フイルム(イージー・ワールド・プロ),イージー・フイルム(イージー・ワールド・プロ),1971-01-01,2003-03-01,東映アニメーション,,
AIC,AIC,1982-07-01,2016-01-01,イージー・フイルム(イージー・ワールド・プロ),,
AICスピリッツ,AICスピリッツ,2003-01-01,2016-01-01,AIC,,
AICClassic,AIC Classic,2010-01-01,2016-01-01,AICスピリッツ,,
AICフロンティア,AICフロンティア,2012-06-01,2016-01-01,AICClassic,,
TROYCA,TROYCA,2013-05-01,,AICClassic,,
プロダクションアイムズ,プロダクションアイムズ,2013-02-14,2018-06-07,AICスピリッツ,,
AICASTA,AIC ASTA,2003-01-01,2016-01-01,AIC,,
AICPLUS+,AIC PLUS+,2006-01-01,2016-01-01,AICASTA,,
BLADE,BLADE,2011-01-01,,AICASTA,,
AICデジタル,AICデジタル,2003-01-01,2016-01-01,AIC,,
AIC宝塚,AIC宝塚,2006-01-01,2011-01-01,AIC,,
AICBuild,AIC Build,2010-01-01,2016-01-01,AIC宝塚,,
颱風グラフィックス,颱風グラフィックス,2014-05-01,,AIC,,
スタジオ座円洞,スタジオ座円洞,1982-01-01,2016-05-17,東映アニメーション,,
トップクラフト,トップクラフト,1982-01-01,1985-01-01,東映アニメーション,,
スタジオジブリ,スタジオジブリ,1985-01-01,,トップクラフト,,
スタジオポノック,スタジオポノック,2015-04-15,,スタジオジブリ,,
STUDIO4℃,STUDIO 4℃,1986-05-01,,スタジオジブリ,,
神風動画,神風動画,2003-05-01,,STUDIO4℃,,
ハルフィルムメーカー,ハルフィルムメーカー,1993-08-01,2009-07-01,東映アニメーション,ゆめ太カンパニー(旧),
ゆめ太カンパニー(旧),ゆめ太カンパニー(旧),1986-03-01,2009-07-01,,,
TYOアニメーションズ,TYOアニメーションズ,2009-07-01,2017-11-30,ハルフィルムメーカー,,
ゆめ太カンパニー(新),ゆめ太カンパニー(新),2017-11-30,,TYOアニメーションズ,あーとぼっくす,
動画工房,動画工房,1973-07-01,,東映アニメーション,,
白組,白組,1974-08-01,,東映アニメーション,,
虫プロダクション(旧),虫プロダクション(旧),1961-06-01,1973-11-01,,,
マッドハウス,マッドハウス,1972-10-01,,虫プロダクション(旧),,
トライアングルスタッフ,トライアングルスタッフ,1987-01-01,2000-12-01,マッドハウス,,
A・C・G・T,A・C・G・T,2000-12-01,,トライアングルスタッフ,,
スタジオケルマディック,スタジオケルマディック,2005-01-01,2018-01-01,トライアングルスタッフ,,
ノーマッド,ノーマッド,2003-07-01,,マッドハウス,,
MAPPA,MAPPA,2011-06-01,,マッドハウス,STUDIO4℃,
スタジオ地図,スタジオ地図,2011-04-01,,マッドハウス,,
NUT,NUT,2017-01-01,,マッドハウス,,
イマジン,イマジン,1992-06-01,,虫プロダクション(旧),,
グループ・タック,グループ・タック,1968-03-01,2010-08-01,虫プロダクション(旧),,
ディオメディア,ディオメディア,2005-10-01,,グループ・タック,,
サテライト,サテライト,1995-12-01,,グループ・タック,,
Gohands,Gohands,2008-08-01,,サテライト,,
エイトビット,エイトビット,2008-09-01,,サテライト,,
シャフト,シャフト,1975-09-01,,虫プロダクション(旧),,
スタジオ・ライブ,スタジオ・ライブ,1976-07-01,,虫プロダクション(旧),,
ぎゃろっぷ,ぎゃろっぷ,1978-12-01,,虫プロダクション(旧),,
パステル,パステル,1992-06-01,,,,
OLM,OLM,1994-06-01,,パステル,ぎゃろっぷ,
WHITEFOX,WHITE FOX,2007-04-01,,OLM,,
スタジオバインド,スタジオバインド,2018-11-01,,WHITEFOX,エイトビット,
AtelierPontdarc,Atelier Pontdarc,2020-07-01,,WHITEFOX,,
A.P.P.P.,A.P.P.P.,1984-06-01,,虫プロダクション(旧),AIC,
サンライズ,サンライズ,1972-09-01,,虫プロダクション(旧),,
ブリッジ,ブリッジ,2007-08-01,,サンライズ,,
マングローブ,マングローブ,2002-02-01,2015-09-29,サンライズ,,
ジェノスタジオ,ジェノスタジオ,2015-11-19,,マングローブ,,
ボンズ,ボンズ,1998-10-01,,サンライズ,,
キネマシトラス,キネマシトラス,2008-03-01,,ボンズ,,
Lay-duce,Lay-duce,2013-08-01,,ボンズ,,
スタジオディーン,スタジオディーン,1975-03-01,,サンライズ,,
スタジオ九魔,スタジオ九魔,1977-12-06,2018-06-01,スタジオディーン,,
スタジオダブ,スタジオダブ,1983-01-01,,サンライズ,,
スタジオたくらんけ,スタジオたくらんけ,1987-09-01,,サンライズ,,
スタジオガゼル,スタジオガゼル,1993-09-01,,サンライズ,,
A-1Pictures,A-1 Pictures,2005-05-09,,サンライズ,,
CloverWorks,CloverWorks,2018-10-01,,A-1Pictures,,
SUNRISEBEYOND,SUNRISE BEYOND,2019-03-01,2024-04-01,サンライズ,XEBEC,
中村プロダクション,中村プロダクション,1974-07-01,,虫プロダクション(旧),,
虫プロダクション(新),虫プロダクション(新),1985-07-01,,虫プロダクション(旧),,
手塚プロダクション,手塚プロダクション,1968-01-01,,虫プロダクション(旧),,
京都アニメーション,京都アニメーション,1985-07-01,,虫プロダクション(旧),,
アニメーションDo,アニメーションDo,2004-04-01,,京都アニメーション,,
Ordet,Ordet,2007-08-01,,京都アニメーション,,
ライデンフィルム,ライデンフィルム,2012-02-01,,Ordet,,
タツノコプロ,タツノコプロ,1962-10-01,,,,
葦プロダクション(プロダクションリード),葦プロダクション(プロダクションリード),1975-12-01,,タツノコプロ,,
アクタス,アクタス,1998-07-01,,葦プロダクション(プロダクションリード),,
スタジオパストラル,スタジオパストラル,2004-10-01,,アクタス,,
アイムーヴ,アイムーヴ,2000-05-01,2014-02-01,葦プロダクション(プロダクションリード),,
MAHOFILM,MAHO FILM,2018-05-29,,葦プロダクション(プロダクションリード),,
ぴえろ,ぴえろ,1979-05-01,,タツノコプロ,,
アークトゥールス,アークトゥールス,2000-04-04,,ぴえろ,,
セブン・アークス,セブン・アークス,2002-05-01,,アークトゥールス,,
StudioBlanc.,Studio Blanc.,2008-09-01,,セブン・アークス,,
